id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
12,ハサミギロチン,断头钳,guillotine,normal,physical,,30,0,5,大きな　ハサミで 相手を　切り裂いて　攻撃する。 当たれば　一撃で　ひんしに　する。,用大钳子或剪刀等 夹断对手进行攻击。 只要命中就会一击濒死。,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,,,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",19,1
13,かまいたち,旋风刀,razor-wind,normal,special,80,100,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.,51,1
14,つるぎのまい,剑舞,swords-dance,normal,status,,,0,20,戦いの舞を　激しく　おどって 気合を　高める。 自分の　攻撃を　ぐーんと　あげる。,激烈地跳起战舞提高气势。 大幅提高自己的攻击。,A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat.,,,Raises the user’s Attack by two stages.,349,1
15,いあいぎり,居合斩,cut,normal,physical,50,95,0,30,カマや　ツメなどで 相手を　切りつけて　攻撃する。,用镰刀或爪子等 切斩对手进行攻击。,The target is cut with a scythe or claw.,,,Inflicts regular damage.,292,1
16,かぜおこし,起风,gust,flying,special,40,100,0,35,翼で　おこした　激しい　風を 相手に　ぶつけて　攻撃する。,用翅膀将刮起的狂风 袭向对手进行攻击。,A gust of wind is whipped up by wings and launched at the target to inflict damage.,,,"Inflicts regular damage.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",67,3
17,つばさでうつ,翅膀攻击,wing-attack,flying,physical,60,100,0,35,大きく　ひろげた　りっぱな　翼を 相手に　ぶつけて　攻撃する。,大大地展开美丽的翅膀， 将其撞向对手进行攻击。,"The target is struck with large, imposing wings spread wide to inflict damage.",,,Inflicts regular damage.,57,3
18,ふきとばし,吹飞,whirlwind,normal,status,,,-6,20,相手を　吹きとばして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,吹飞对手，强制拉后备宝可梦上场。 如果对手为野生宝可梦， 战斗将直接结束。,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,,Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.  Doesn’t affect Pokémon with suction cups or under the effect of ingrain.,62,1
19,そらをとぶ,飞翔,fly,flying,physical,90,95,0,15,１ターン目で　空へ　飛び ２ターン目に　相手を　攻撃する。,第１回合飞上天空， 第２回合攻击对手。,"The user flies up into the sky on the first turn, then attacks on the next turn.",,,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.",135,3
20,しめつける,绑紧,bind,normal,physical,15,85,0,20,長い　体や　つるなどを　使い ４ー５ターンの　間 相手を　締めつけて　攻撃する。,使用长长的身体或藤蔓等， 在４～５回合内 绑紧对手进行攻击。,"A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns.",,,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",86,1
21,たたきつける,摔打,slam,normal,physical,80,75,0,20,長い　しっぽや　つるなどを　使い 相手を　たたきつけて　攻撃する。,使用长长的尾巴或藤蔓等 摔打对手进行攻击。,"The target is slammed with a long tail, vines, or the like to inflict damage.",,,Inflicts regular damage.,109,1
22,つるのムチ,藤鞭,vine-whip,grass,physical,45,100,0,25,ムチのように　しなる　細長い　つるで 相手を　たたきつけて　攻撃する。,用如同鞭子般弯曲而细长的藤蔓 摔打对手进行攻击。,"The target is struck with slender, whiplike vines to inflict damage.",,,Inflicts regular damage.,32,12
23,ふみつけ,踩踏,stomp,normal,physical,65,100,0,20,大きな　足で 相手を　踏みつけて　攻撃する。 相手を　ひるませることが　ある。,用大脚踩踏对手进行攻击。 有时会使对手畏缩。,The user attacks by stomping on the target with a big foot. This may also make the target flinch.,,,Inflicts regular damage.  Has a 30% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.,71,1
24,にどげり,二连踢,double-kick,fighting,physical,30,100,0,30,２本の　足で　相手を　けとばして 攻撃する。　２回連続で ダメージを　与える。,用２只脚踢飞对手进行攻击。 连续２次给予伤害。,The user attacks by kicking the target twice in a row using two feet.,,,Inflicts regular damage.  Hits twice in one turn.,81,2
25,メガトンキック,百万吨重踢,mega-kick,normal,physical,120,75,0,5,ものすごい　力を　こめた　キックで 相手を　けとばして　攻撃する。,使出力大无穷的重踢 踢飞对手进行攻击。,The target is attacked by a kick launched with muscle-packed power.,,,Inflicts regular damage.,236,1
26,とびげり,飞踢,jump-kick,fighting,physical,100,95,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.",13,2
27,まわしげり,回旋踢,rolling-kick,fighting,physical,60,85,0,15,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts regular damage.  Has a 30% chance to make the target flinch.,5,2
28,すなかけ,泼沙,sand-attack,ground,status,,100,0,15,相手の　顔に　砂を　かけて 命中率を　さげる。,向对手脸上泼沙子， 从而降低命中率。,"Sand is hurled in the target's face, lowering the target's accuracy.",,,Lowers the target’s accuracy by one stage.,121,5
29,ずつき,头锤,headbutt,normal,physical,70,100,0,15,頭を　突きだして まっすぐ　つっこんで　攻撃する。 相手を　ひるませることが　ある。,将头伸出， 笔直地扑向对手进行攻击。 有时会使对手畏缩。,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,,,Inflicts regular damage.  Has a 30% chance to make the target flinch.,529,1
30,つのでつく,角撞,horn-attack,normal,physical,65,100,0,25,鋭く　とがった　つので 相手を　攻撃する。,用尖锐的角攻击对手。,The target is jabbed with a sharply pointed horn to inflict damage.,,,Inflicts regular damage.,21,1
31,みだれづき,乱击,fury-attack,normal,physical,15,85,0,20,つのや　くちばしで 相手を　つついて　攻撃する。 ２ー５回の　間　連続で　だす。,用角或喙 刺向对手进行攻击。 连续攻击２～５次。,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row.",,,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",60,1
32,つのドリル,角钻,horn-drill,normal,physical,,30,0,5,回転する　つのを 相手に　突き刺して　攻撃する。 当たれば　一撃で　ひんしに　する。,用旋转的角 刺入对手进行攻击。 只要命中就会一击濒死。,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,,,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",24,1
33,たいあたり,撞击,tackle,normal,physical,40,100,0,35,相手に　むかって　全身で ぶつかっていき　攻撃する。,用整个身体 撞向对手进行攻击。,A physical attack in which the user charges and slams into the target with its whole body.,,,Inflicts regular damage.,479,1
34,のしかかり,泰山压顶,body-slam,normal,physical,85,100,0,15,全身で 相手に　のしかかり　攻撃する。 まひ状態に　することが　ある。,用整个身体 压住对手进行攻击。 有时会让对手陷入麻痹状态。,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,,,Inflicts regular damage.  Has a 30% chance to paralyze the target.,671,1
35,まきつく,紧束,wrap,normal,physical,15,90,0,20,長い　体や　つるなどを　使って ４ー５ターンの　間 相手に　まきついて　攻撃する。,使用长长的身体或藤蔓等， 在４～５回合内 紧束对手进行攻击。,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",,,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",43,1
36,とっしん,猛撞,take-down,normal,physical,90,85,0,20,すごい　勢いで 相手に　ぶつかって　攻撃する。 自分も　少し　ダメージを　受ける。,以惊人的气势 撞向对手进行攻击。 自己也会受到少许伤害。,A reckless full-body charge attack for slamming into the target. This also damages the user a little.,,,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,848,1
37,あばれる,大闹一番,thrash,normal,physical,120,100,0,10,２ー３ターンの　間 暴れまくって　相手を　攻撃する。 暴れたあとは　混乱する。,在２～３回合内， 乱打一气地攻击对手。 大闹一番后自己会陷入混乱。,The user rampages and attacks for two to three turns. The user then becomes confused.,,,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.  safeguard does not protect against the confusion from this move.",126,1
38,すてみタックル,舍身冲撞,double-edge,normal,physical,120,100,0,15,命を　懸けて 相手に　突進して　攻撃する。 自分も　かなり　ダメージを　受ける。,拼命地猛撞向对手进行攻击。 自己也会受到不小的伤害。,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,,,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,686,1
39,しっぽをふる,摇尾巴,tail-whip,normal,status,,100,0,30,しっぽを　左右に　かわいく　ふって 油断を　誘う。 相手の　防御を　さげる。,可爱地左右摇晃尾巴， 诱使对手疏忽大意。 会降低对手的防御。,"The user wags its tail cutely, making opposing Pokémon less wary. This lowers their Defense stats.",,,Lowers the target’s Defense by one stage.,146,1
40,どくばり,毒针,poison-sting,poison,physical,15,100,0,35,毒の　ある　ハリを 相手に　突き刺して　攻撃する。 毒状態に　することが　ある。,将有毒的针 刺入对手进行攻击。 有时会让对手陷入中毒状态。,The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target.,,,Inflicts regular damage.  Has a 30% chance to poison the target.,46,4
41,ダブルニードル,双针,twineedle,bug,physical,25,100,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,10,7
42,ミサイルばり,飞弹针,pin-missile,bug,physical,25,95,0,20,鋭い　ハリを 相手に　発射して　攻撃する。 ２ー５回の　間　連続で　だす。,向对手发射 锐针进行攻击。 连续攻击２～５次。,The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row.,,,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",51,7
43,にらみつける,瞪眼,leer,normal,status,,100,0,30,鋭い　目つきで　おびえさせて 相手の　防御を　さげる。,用犀利的眼神使其害怕， 从而降低对手的防御。,The user gives opposing Pokémon an intimidating leer that lowers their Defense stats.,,,Lowers the target’s Defense by one stage.,286,1
44,かみつく,咬住,bite,dark,physical,60,100,0,25,鋭く　とがった　歯で かみついて　攻撃する。 相手を　ひるませることが　ある。,用尖锐的牙 咬住对手进行攻击。 有时会使对手畏缩。,The target is bitten with viciously sharp fangs. This may also make the target flinch.,,,Inflicts regular damage.  Has a 30% chance to make the target flinch.,264,17
45,なきごえ,叫声,growl,normal,status,,100,0,40,かわいい　なきごえを　聞かせて 気を　ひき　油断を　させて 相手の　攻撃を　さげる。,让对手听可爱的叫声， 引开注意力使其疏忽， 从而降低对手的攻击。,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.",,,Lowers the target’s Attack by one stage.,249,1
46,ほえる,吼叫,roar,normal,status,,,-6,20,相手を　逃がして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,放走对手，强制拉后备宝可梦上场。 如果对手为野生宝可梦， 战斗将直接结束。,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,,Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.  Doesn’t affect Pokémon with suction cups or under the effect of ingrain.,290,1
47,うたう,唱歌,sing,normal,status,,55,0,15,心地好い　きれいな 歌声を　聞かせて 相手を　眠り状態に　する。,让对手听舒适、 美妙的歌声， 从而陷入睡眠状态。,A soothing lullaby is sung in a beautiful voice that puts the target to sleep.,,,Puts the target to sleep.,41,1
48,ちょうおんぱ,超音波,supersonic,normal,status,,55,0,20,特殊な　音波を 体から　発して 相手を　混乱させる。,从身体发出 特殊的音波， 从而使对手混乱。,The user generates odd sound waves from its body that confuse the target.,,,Confuses the target.,83,1
49,ソニックブーム,音爆,sonic-boom,normal,special,,90,0,20,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,,Inflicts exactly 20 damage.,15,1
50,かなしばり,定身法,disable,normal,status,,100,0,20,相手の　動きを　とめて 直前に　だしていた　技を ４ターンの　間　使えなくする。,阻碍对手行动， 之前使出的招式 将在４回合内无法使用。,"For four turns, the target will be unable to use whichever move it last used.",,,"Disables the target’s last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",100,1
51,ようかいえき,溶解液,acid,poison,special,40,100,0,30,強い　酸を　相手に　かけて 攻撃する。　相手の　特防を さげることが　ある。,将强酸泼向对手进行攻击。 有时会降低对手的特防。,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.,,,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,35,4
52,ひのこ,火花,ember,fire,special,40,100,0,25,小さな　炎を 相手に　発射して　攻撃する。 やけど状態に　することが　ある。,向对手发射 小型火焰进行攻击。 有时会让对手陷入灼伤状态。,The target is attacked with small flames. This may also leave the target with a burn.,,,Inflicts regular damage.  Has a 10% chance to burn the target.,89,10
53,かえんほうしゃ,喷射火焰,flamethrower,fire,special,90,100,0,15,激しい　炎を 相手に　発射して　攻撃する。 やけど状態に　することが　ある。,向对手发射 烈焰进行攻击。 有时会让对手陷入灼伤状态。,The target is scorched with an intense blast of fire. This may also leave the target with a burn.,,,Inflicts regular damage.  Has a 10% chance to burn the target.,268,10
54,しろいきり,白雾,mist,ice,status,,,0,30,白い霧で　体を　おおう。 ５ターンの　間　相手に 能力を　さげられなく　なる。,用白雾覆盖身体。 在５回合内不会让对手 降低自己的能力。,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.,,,"Pokémon on the user’s side of the field are immune to stat-lowering effects for five turns.  guard swap, heart swap, and power swap may still be used.  defog used by an opponent will end this effect.",79,15
55,みずでっぽう,水枪,water-gun,water,special,40,100,0,25,水を　勢いよく 相手に　発射して　攻撃する。,向对手猛烈地喷射 水流进行攻击。,The target is blasted with a forceful shot of water.,,,Inflicts regular damage.,192,11
56,ハイドロポンプ,水炮,hydro-pump,water,special,110,80,0,5,大量の　水を 激しい　勢いで 相手に　発射して　攻撃する。,向对手猛烈地喷射 大量水流进行攻击。,The target is blasted by a huge volume of water launched under great pressure.,,,Inflicts regular damage.,212,11
57,なみのり,冲浪,surf,water,special,90,100,0,15,大きな　波で　自分の 周りに　いるものを　攻撃する。,利用大浪 攻击自己周围所有的宝可梦。,The user attacks everything around it by swamping its surroundings with a giant wave.,,,"Inflicts regular damage.  If the target is in the first turn of dive, this move will hit with double power.",285,11
58,れいとうビーム,冰冻光束,ice-beam,ice,special,90,100,0,10,凍える　ビームを 相手に　発射して　攻撃する。 こおり状態に　することが　ある。,向对手发射 冰冻光束进行攻击。 有时会让对手陷入冰冻状态。,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.,,,Inflicts regular damage.  Has a 10% chance to freeze the target.,346,15
59,ふぶき,暴风雪,blizzard,ice,special,110,70,0,5,激しい　吹雪を 相手に　吹きつけて　攻撃する。 こおり状態に　することが　ある。,将猛烈的暴风雪 刮向对手进行攻击。 有时会让对手陷入冰冻状态。,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,,,"Inflicts regular damage.  Has a 10% chance to freeze the target.  During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",315,15
60,サイケこうせん,幻象光线,psybeam,psychic,special,65,100,0,20,不思議な　光線を 相手に　発射して　攻撃する。 混乱させることが　ある。,向对手发射 神奇的光线进行攻击。 有时会使对手混乱。,The target is attacked with a peculiar ray. This may also confuse the target.,,,Inflicts regular damage.  Has a 10% chance to confuse the target.,147,14
61,バブルこうせん,泡沫光线,bubble-beam,water,special,65,100,0,20,泡を　勢いよく 相手に　発射して　攻撃する。 素早さを　さげる　ことが　ある。,向对手猛烈地喷射 泡沫进行攻击。 有时会降低对手的速度。,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.,,,Inflicts regular damage.  Has a 10% chance to lower the target’s Speed by one stage.,107,11
62,オーロラビーム,极光束,aurora-beam,ice,special,65,100,0,20,にじいろの　ビームを 相手に　発射して　攻撃する。 攻撃を　さげる　ことが　ある。,向对手发射 虹色光束进行攻击。 有时会降低对手的攻击。,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.,,,Inflicts regular damage.  Has a 10% chance to lower the target’s Attack by one stage.,33,15
63,はかいこうせん,破坏光线,hyper-beam,normal,special,150,90,0,5,強い　光線を 相手に　発射して　攻撃する。 次の　ターンは　動けなくなる。,向对手发射 强烈的光线进行攻击。 下一回合自己将无法动弹。,The target is attacked with a powerful beam. The user can't move on the next turn.,,,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",735,1
64,つつく,啄,peck,flying,physical,35,100,0,35,鋭く　とがった　くちばしや　つので 相手を　突いて　攻撃する。,用尖锐的喙或角 刺向对手进行攻击。,The target is jabbed with a sharply pointed beak or horn to inflict damage.,,,Inflicts regular damage.,88,3
65,ドリルくちばし,啄钻,drill-peck,flying,physical,80,100,0,20,回転しながら　とがった　くちばしを 相手に　突き刺して　攻撃する。,一边旋转，一边将尖喙 刺入对手进行攻击。,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.,,,Inflicts regular damage.,24,3
66,じごくぐるま,地狱翻滚,submission,fighting,physical,80,80,0,20,地面に　自分ごと 相手を　投げつけて　攻撃する。 自分も　少し　ダメージを　受ける。,将对手连同自己一起 摔向地面进行攻击。 自己也会受到少许伤害。,The user grabs the target and recklessly dives for the ground. This also damages the user a little.,,,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,61,2
67,けたぐり,踢倒,low-kick,fighting,physical,,100,0,20,足を　強く　けり 相手を　転ばせて　攻撃する。 相手が　重いほど　威力が　あがる。,用力踢对手的脚， 使其摔倒进行攻击。 对手越重，威力越大。,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.",,,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.  Target’s weight | Power --------------- | ----: Up to 10kg      |    20 Up to 25kg      |    40 Up to 50kg      |    60 Up to 100kg     |    80 Up to 200kg     |   100 Above 200kg     |   120 ",259,2
68,カウンター,双倍奉还,counter,fighting,physical,,100,-5,20,相手から　受けた　物理攻撃の ダメージを　２倍に　して 同じ　相手に　返す。,从对手那里受到 物理攻击的伤害将以 ２倍返还给同一个对手。,"A retaliatory attack that counters any physical move, inflicting double the damage taken.",,,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.  This move cannot be copied by mirror move, nor selected by assist or metronome.",257,2
69,ちきゅうなげ,地球上投,seismic-toss,fighting,physical,,100,0,20,引力を　使い　投げとばす。 自分の　レベルと　同じ　ダメージを 相手に　与える。,利用引力将对手甩飞出去。 给予对手和自己等级相同的伤害。,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.,,,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",157,2
70,かいりき,怪力,strength,normal,physical,80,100,0,15,こん身の　力で 相手を　なぐりつけて　攻撃する。,使出浑身力气 殴打对手进行攻击。,The target is slugged with a punch thrown at maximum power.,,,Inflicts regular damage.,406,1
71,すいとる,吸取,absorb,grass,special,20,100,0,25,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,,,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,98,12
72,メガドレイン,超级吸取,mega-drain,grass,special,40,100,0,15,養分を　吸い取り　攻撃する。 相手に　与えた　ダメージの 半分の　ＨＰを　回復できる。,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,,,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,102,12
73,やどりぎのタネ,寄生种子,leech-seed,grass,status,,90,0,10,植えつけた　相手の　ＨＰを 毎ターン　少しだけ　吸い取り 自分の　ＨＰを　回復する。,植入寄生种子后，将在每回合 一点一点吸取对手的ＨＰ， 从而用来回复自己的ＨＰ。,A seed is planted on the target. It steals some HP from the target every turn.,,,Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.  The user takes damage instead of being healed if the target has liquid ooze.  rapid spin will remove this effect.  This effect is passed on by baton pass.,104,12
74,せいちょう,生长,growth,normal,status,,,0,20,体を　一気に 大きく　生長させて 攻撃と　特攻を　あげる。,让身体一下子长大， 从而提高攻击和特攻。,"The user's body grows all at once, boosting the Attack and Sp. Atk stats.",,,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",87,1
