name,category,page_count,call_count
活动赠送列表/footer,unknown,425,441
Male,unknown,418,3189
寶可夢特別篇章節信息框,unknown,412,412
V,unknown,411,447
DungeonPrevNext,unknown,406,407
动画招式/mid,infobox,402,2345
Quest/ZA,unknown,391,1042
对话/中,unknown,384,1159
Learnset/level,unknown,382,5074
GameIconzh/9,unknown,378,675
TP3,unknown,375,1719
歌曲信息框,unknown,369,394
主题牌组列表/header,unknown,368,657
Learnlist/prevo8null,unknown,368,526
PTCG/宝可梦V,unknown,368,368
动画地点信息框,unknown,367,367
主题牌组列表/entry,unknown,366,17918
TCG版本信息框/JP,unknown,364,370
弹性分栏/h,unknown,363,504
弹性分栏/f,unknown,363,498
弹性分栏/d,unknown,361,748
GameIconzh/3,unknown,359,1293
卡牌信息/legendend,unknown,357,357
状态说明框/h,infobox,356,363
收視率,unknown,356,356
TR,unknown,354,44519
伽勒尔,unknown,354,354
Learnlist/tm3,unknown,353,8503
Learnlist/tutor3,unknown,353,5079
Learnlist/level3,unknown,350,3739
迷宫信息框,unknown,349,349
Toggle/Header,unknown,347,471
Gameabbrevzh/4,unknown,346,806
图鉴/旁支系列,drop,346,347
卡牌信息/neoend,unknown,346,346
Pdw,unknown,344,715
訓練家類型,unknown,343,343
Learnlist/breed5,unknown,342,3744
卡牌列表/entry,unknown,340,30020
Mdloc,unknown,340,7308
Mdloc/h,unknown,340,416
Mdloc/f,unknown,340,416
Learnset/specialh,unknown,339,688
Learnset/levelf,unknown,339,688
PrevNextBase,unknown,338,410
主题牌组列表/footer,unknown,331,685
状态说明框,infobox,329,1306
Jo,unknown,329,499
对战简报/pmRow,unknown,328,886
对战简报/trainer,unknown,328,458
对战简报/timeline,unknown,327,11822
Toggle/Content,unknown,327,444
道路,unknown,321,1046
地點信息框,unknown,317,317
卡牌列表/entryjp,unknown,312,40437
AbilityList/entry,unknown,312,3969
AbilityList/header,unknown,312,337
AbilityList/footer,unknown,312,337
动画漫画专属地点,unknown,312,313
特性信息框,infobox,311,311
对战简报/pmL,unknown,310,791
剧透提示,unknown,308,316
歌词,unknown,307,519
对战简报/result,unknown,306,428
对战简报/pmR,unknown,305,673
宝可梦特别篇章节信息框,unknown,304,304
Pokopia/Specialty,unknown,301,916
Bag/Latest,unknown,299,4296
Pokopia Pokemon Infobox,unknown,296,304
卡牌信息/header/V,unknown,294,294
奥卜利比亚pkmn,unknown,288,288
Gameabbrevzh/3,unknown,287,739
Pokopia/Habitat,unknown,285,824
PPM,unknown,283,568
PTCG/宝可梦ex,unknown,279,279
Gameabbrevzh/6,unknown,276,609
PrevNextAnime/EP,unknown,275,550
巢穴信息框,unknown,275,275
Learnlist/breed4,unknown,273,2635
动画角色,unknown,267,267
形态变化,unknown,265,2101
印刷品,unknown,263,2530
印刷品/h,unknown,263,565
TP4,unknown,262,1037
EX,unknown,262,280
道具地点/S,unknown,260,290
阿尔米亚pkmn,unknown,258,258
掉落物,unknown,258,258
Female,unknown,257,1897
即时通讯器,unknown,256,257
Gameabbrevzh/9,unknown,254,798
TCG版本信息框/ZH,unknown,252,267
消歧義,unknown,252,252
Quest/LA,unknown,251,570
GO信息框<!--|height=|weight=|dodgeP=|attackP=|purifcandy=|purifstardust=|catchcandy=|catchcandyXL=|catchstardust=|candy=|stardust=|species=-->,unknown,248,306
CD信息框,unknown,248,263
拍檔組合訓練家,unknown,248,248
GO招式,unknown,242,242
Learnlist/level2,unknown,241,2178
拍组/desc,unknown,241,680
拍组/move,unknown,240,3190
拍组/pokemon,unknown,240,782
拍组/stats,unknown,240,724
拍组/skills,unknown,240,680
拍组/desc/title,unknown,240,673
拍組,unknown,239,624
GX,unknown,236,269
Learnlist/tm2,unknown,233,6166
Learnset/tutorh,unknown,231,231
Learnset/tutorf,unknown,231,231
寶可夢,unknown,230,948
PK,unknown,230,618
TMtable,unknown,230,230
招式学习器,unknown,230,230
Si,unknown,229,560
Itemlist/8,unknown,228,2448
Gameabbrevzh/5,unknown,228,546
训练家类型信息框,unknown,228,228
Learnset/tutorall,unknown,227,17320
NPS宝可梦信息框,unknown,224,225
Decklist/footer,unknown,223,240
Learnlist/prevo7null,unknown,222,274
Decklist/entry,unknown,221,4804
Shop,unknown,221,644
Shopfooter,unknown,221,642
Decklist/header,unknown,221,238
Shoprow,unknown,219,3609
Itemlist/4,unknown,219,1911
捕捉/entry8/巢穴内部,unknown,218,8732
Shopitem,unknown,218,6459
捕捉/header/巢穴内部,unknown,218,865
捕捉/footer/巢穴内部,unknown,218,865
现实人物信息框,unknown,218,218
W,unknown,216,520
MSN,unknown,215,987
HS,unknown,211,510
卡牌信息/oldpower,unknown,210,217
Learnlist/breed3,unknown,206,1258
训练家列表/h,unknown,205,785
训练家列表/f,unknown,205,778
GameIconzh/4,unknown,204,637
道路信息框,unknown,204,204
Learnlist/level1,unknown,203,2011
不活跃宝可梦,unknown,202,1474
密阿雷市,unknown,202,202
睡姿图鉴/睡姿,unknown,201,817
睡姿图鉴,unknown,201,211
Tracklist,unknown,200,5479
Tracklist/header,unknown,200,243
睡姿图鉴/食材列表,unknown,199,209
Learnlist/tm1,unknown,198,4097
PTCG/宝可梦EX,unknown,198,198
卡牌信息/attack/GX,unknown,196,196
信长的野望连接,unknown,194,6188
游戏版本,unknown,194,194
宝可梦信长的野望信息框,unknown,194,194
信长的野望连接/h,unknown,194,194
PTCG/宝可梦GX,unknown,194,194
动画原画,unknown,193,196
卡牌信息/header/GX,unknown,193,193
PrevNextAnime/AG,unknown,191,382
训练家列表/p,unknown,190,7809
PrevNextAnime/DP,unknown,189,378
训练家列表/l,unknown,188,3509
Learnlist/levelVI,unknown,188,3421
DPA,unknown,188,357
Kal,unknown,188,349
Pkmnsp,unknown,187,324
Mditem/h,unknown,187,271
活动获得/main,unknown,185,293
活动获得/header,unknown,185,204
活动获得/footer,unknown,185,204
卡牌信息/header/EX,unknown,185,185
信长的野望连接/O,unknown,184,25532
Mditem,unknown,183,8549
传说的宝可梦、幻之宝可梦出现地,unknown,183,183
Mditem/mid,unknown,181,841
Learnlist/level/champ,unknown,179,12351
寶可夢信息框/形態,unknown,177,177
神奇寶貝百科地點工程,unknown,177,177
Itemlist/6,unknown,176,2161
章節信息框,unknown,176,176
GameIconzh/2,unknown,174,349
ZA,unknown,174,297
Itemlist/3,unknown,173,1114
Mditem/G,unknown,173,199
招式信息框/arceus,drop,173,177
Itemlist/7,unknown,172,2041
Learnlist/prevo6null,unknown,171,171
Sup/9,unknown,170,1101
地点宝可梦信息,unknown,168,550
地点宝可梦信息/h,unknown,168,278
卡牌相关/div,unknown,168,175
Learnlist/prevo7,unknown,167,902
Gameabbrevzh/2,unknown,167,421
動畫角色,unknown,167,167
TCGP,unknown,166,1613
PG,unknown,164,476
道具携带/header,unknown,164,164
道具携带/end,unknown,164,164
道具携带/main,unknown,163,1469
Learnlist/prevo6,unknown,163,743
RanseiLink,unknown,162,26092
WarriorInfo,unknown,162,162
RanseiLink/h,unknown,162,162
Age,unknown,160,160
TrainerB2W2,unknown,159,345
非正式术语,unknown,159,159
神秘卡片/6,unknown,156,281
进化框/形态,unknown,156,167
道具信息框/MD,drop,156,156
Learnlist/breed8null,unknown,155,211
城镇信息框,unknown,153,153
游戏信息框,unknown,153,153
Learnlist/tutor2,unknown,152,220
卡牌信息/power/Pocket,unknown,152,152
地点宝可梦信息/f,unknown,151,246
Learnlist/eventh,unknown,151,157
Learnlist/eventf,unknown,151,157
PTCG版本导航/剑&盾系列,unknown,151,151
Movelist/level/gen1,infobox,148,7117
菲蕾pkmn,unknown,148,148
包包信息框/MD/h,unknown,147,147
PrevNextAnime/SM,unknown,146,292
包包信息框/MD,unknown,146,227
神奇寶貝百科音樂工程,unknown,146,146
寶可夢探險尋寶/main,unknown,145,561
Un,unknown,145,259
寶可夢探險尋寶/header,unknown,145,145
PrevNextAnime/BW,unknown,144,288
PTCG版本导航/太阳·月亮系列,unknown,144,144
SmileHeader,unknown,144,144
PrevNextAnime/SS,unknown,143,285
Gameabbrevzh/1,unknown,143,243
Learnlist/prevo5,unknown,142,740
Movm,unknown,142,283
神奥,unknown,140,140
Learnlist/breed7null,unknown,140,140
PrevNextAnime/XY,unknown,139,278
HM,unknown,138,902
PokemonList/Nobu,unknown,138,461
PrevNextAnime/SV,unknown,138,276
PokemonList/Nobu/H,unknown,138,138
PokemonList/Nobu/F,unknown,138,138
對戰簡報/timeline,unknown,137,860
训练家列表/n,unknown,135,2701
信长的野望分布,unknown,134,220
信长的野望分布/h,unknown,134,135
动画,unknown,134,134
电影登场角色,unknown,132,132
训练家卡信息/multimain,unknown,130,133
丰缘,unknown,129,129
PTCG版本导航/EX系列,unknown,128,128
Sup/1,unknown,126,371
道具信息框/信长,drop,126,126
洗翠,unknown,126,126
野餐,unknown,125,125
信长的野望招式,unknown,123,123
训练家卡信息/header/Pocket,unknown,123,123
训练家卡信息/end/Pocket,unknown,123,123
Al,unknown,122,205
状态信息框,unknown,122,135
Movelist/breed/gen2,infobox,121,1366
招式效果/能力降低,semantic,119,135
MusicStreamingService/header,unknown,119,124
阿羅拉,unknown,119,119
關於,unknown,118,119
树果/道具导航,unknown,118,118
Sup/MD,unknown,116,1275
Ppm,unknown,116,412
GDZ,unknown,115,229
卡牌信息/header/IR,unknown,114,114
Learnlist/prevo4,unknown,113,531
PO,unknown,113,273
Glitch,unknown,113,260
神奇寶貝百科漫畫工程,unknown,113,113
TCGPI,unknown,112,4103
MusicStreamingService/AppleMusic,unknown,111,126
树果/标签,unknown,111,112
Learnlist/breed6null,unknown,111,111
超級不可思議迷宮地點,unknown,110,110
Movelist/level/gen4,infobox,109,2643
卡牌信息/老end,unknown,107,122
合众,unknown,107,107
Learnlist/levelV,unknown,106,1735
神秘卡片/7,unknown,106,525
SP,unknown,106,222
Back,unknown,106,107
Movelist/level/gen3,infobox,105,2795
Itemlist/5,unknown,105,2343
PrevNextMusic/AniED,unknown,105,199
Gen6gif,unknown,105,105
糖果,unknown,105,105
Learnlist/breed2,unknown,104,487
睡姿图鉴/进化条件,unknown,104,116
重定向,unknown,104,108
第六世代招式學習器,unknown,103,103
Gp,unknown,102,1335
活跃宝可梦,unknown,102,552
對話/中,unknown,101,241
招式记录,unknown,101,101
道具地点/巢穴,unknown,100,6443
TDS,unknown,100,386
对战简报/status,unknown,100,204
道具地点/巢穴/h,unknown,100,199
道具地点/巢穴/f,unknown,100,199
招式/天气影响,unknown,100,100
PTCG版本导航/XY系列,unknown,100,100
TRtable,unknown,100,100
捕捉/entryhs,unknown,99,2276
Game4,unknown,99,883
公告牌/DP,unknown,99,739
对战影响道具,unknown,99,99
第五世代招式學習器,unknown,98,98
时暗空地点,unknown,98,98
寶可夢特別篇單行本信息框,unknown,97,97
Itemlist/2,unknown,96,477
数据类道具,unknown,96,96
TCGPDeckList/entry,unknown,95,1897
TCGPDeckList/header,unknown,95,147
第四世代招式學習器,unknown,95,95
卡洛斯,unknown,95,95
英文版卡牌,unknown,95,95
拍档石盘/輔助型,unknown,94,136
关都,unknown,94,94
CD,unknown,93,104
Movelist/tm/gen8,infobox,92,10149
Movelist/level/gen5,infobox,92,1468
能量卡信息/header,unknown,92,92
超级石,unknown,92,92
招式效果/必中,semantic,91,116
译名切换,unknown,91,97
Toggle,unknown,90,632
PrevNextSpe/Vol,unknown,90,90
捕捉/entry2,unknown,89,2025
時暗空寶可夢信息框,unknown,89,93
超级不可思议迷宫地图,unknown,89,89
Movelist/breed/gen3,infobox,88,1176
第七世代招式學習器,unknown,88,88
PTCG版本导航/BW系列,unknown,88,88
消消乐方块,unknown,87,3597
超级进化,unknown,87,87
游戏术语,unknown,87,87
PTCG版本导航/朱&紫系列,unknown,87,87
待确认,unknown,86,117
捕捉/entryoa,unknown,85,1195
Movelist/breed/gen4,infobox,85,675
Rar,unknown,85,222
MusicStreamingService/QQ音乐,unknown,85,89
树果/信息框,unknown,85,86
相关企业,unknown,85,85
招式效果/能力提升,semantic,84,121
分布/main,unknown,83,179
Learnlist/event7,unknown,83,160
分布/header,unknown,83,83
帕底亞,unknown,83,83
Movelist/level/gen2,infobox,82,2990
道具列表,unknown,82,1010
PMD,unknown,82,243
版本资料切换/神奥2,unknown,82,121
Pm,unknown,82,98
進化框,unknown,82,82
分布/end,unknown,82,82
能量卡信息/main,unknown,81,81
繁简,unknown,80,6062
捕捉/entry3,unknown,80,857
战斗益智方块信息框,unknown,80,82
TCGP牌組信息框,unknown,80,80
捕捉/entry4,unknown,79,2335
Mega,unknown,79,82
Movelist/breed/gen5,infobox,78,571
拍档石盘/技術型,unknown,78,93
树果/生长,unknown,78,79
宝可方块套装,unknown,78,79
出战宝可梦列表,unknown,77,12731
出战宝可梦列表/h,unknown,77,247
PrevNextMusic/AniOP,unknown,77,164
TW,unknown,76,310
Movelist/level/gen8,infobox,76,184
阿尔米亚pkmn/m,unknown,76,76
捕捉/entryfl,unknown,75,1229
Learnlist/prevo3,unknown,75,275
版本资料切换/丰缘2,unknown,75,128
Learnlist/tcgh,unknown,75,75
Learnlist/tcgf,unknown,75,75
城都,unknown,75,75
洗翠地区重要物品,unknown,75,75
卡牌信息/header/PLASMA,unknown,75,75
捕捉/entrybdsp,unknown,74,1166
MastersSyncpair,unknown,74,955
赤青寶可夢信息框,unknown,74,77
寶可夢列表,unknown,74,74
Mditem/TM,unknown,73,3153
捕捉/entry7-2,unknown,73,879
宝可梦,unknown,73,259
Gaole/os,unknown,73,132
公告牌/RGBY,unknown,72,1581
传说的宝可梦,unknown,72,72
不可思议迷宫术语,unknown,72,72
Ga-OléInfobox,unknown,72,72
公告牌/ORAS,unknown,71,620
道館信息框,unknown,71,71
错误宝可梦,unknown,71,71
Ga-OléData,unknown,71,71
Ga-OléOs,unknown,71,71
$ZA,unknown,70,2838
拍组/toggler/class,unknown,70,328
拍组/toggler,unknown,70,206
版本资料切换/阿罗拉,unknown,70,128
道具信息框/消消樂,drop,70,70
世锦赛牌组,unknown,70,70
Sup/T,unknown,69,212
GB,unknown,69,167
PE,unknown,69,149
道具地點/S,unknown,69,82
神奇宝贝部落格,unknown,69,78
巡护员NPC,unknown,69,69
极大之门与无限迷宫地点,unknown,69,69
错误宝可梦信息框,unknown,69,69
Gaole/jp,unknown,69,69
Uwr,unknown,68,1796
赤青地点,unknown,68,68
道具挖掘/main,unknown,67,179
道具挖掘,unknown,67,179
Ga,unknown,67,115
版本资料切换/神奥,unknown,67,82
极大之门与无限迷宫地图,unknown,67,69
道具挖掘/header,unknown,67,68
道具挖掘/end,unknown,67,68
树果园,unknown,67,67
果汁馆,unknown,67,67
建筑物,unknown,67,67
进化框/Glitch,unknown,66,149
宝芬,unknown,65,65
PTCG版本导航/neo系列,unknown,65,65
章节信息框,unknown,65,65
版本资料切换/关都2,unknown,64,166
Movelist/level/gen9,infobox,64,128
树果冰淇淋,unknown,64,64
GO術語,unknown,64,64
捕捉/entry5-2,unknown,63,1588
Rarjp,unknown,63,178
ET,unknown,63,122
丰缘地区重要物品,unknown,63,63
BB,unknown,62,93
MusicStreamingService/Spotify,unknown,62,75
PTCG版本导航/PMCG系列,unknown,62,62
Movelist/tm/gen9,infobox,61,4505
捕捉/entry8/巢穴2,unknown,61,2800
捕捉/entry7,unknown,61,746
道具捡拾/main,unknown,61,292
捕捉/header/巢穴2,unknown,61,235
捕捉/footer/巢穴2,unknown,61,235
版本资料切换/城都2,unknown,61,156
捕捉R/header,unknown,61,93
捕捉R/f,unknown,61,93
招式/改变形态,unknown,61,61
道具捡拾/header,unknown,61,61
道具捡拾/end,unknown,61,61
属性增强道具,unknown,61,61
游戏漏洞,unknown,61,61
Movelist,unknown,60,1191
捕捉R/div,unknown,60,794
拍档石盘/攻擊型,unknown,60,74
Movelist/h,infobox,60,73
日語動畫片尾曲,unknown,60,60
宝可梦列表,unknown,60,60
宝可梦特别篇单行本信息框,unknown,60,60
食材,unknown,60,60
种族值/Gen1,unknown,59,60
道具/道具导航,unknown,59,59
帕底亚地区重要物品,unknown,59,59
赤青救助隊露營,unknown,59,59
卡牌信息/CP6end,unknown,59,59
Gameabbrev/5,unknown,58,98
交换宝可梦,unknown,58,72
道具地點,unknown,58,59
FApkmn,unknown,57,413
版本资料切换/合众,unknown,57,132
PTCG版本导航/DP系列,unknown,57,57
救助隊露營信息框,unknown,57,57
FApkmn/h,unknown,57,57
FApkmn/f,unknown,57,57
神奇宝贝百科旁支游戲工程,unknown,57,57
Movelist/level/gen7,infobox,56,594
Ga-OleLocation/entry,unknown,56,445
PrevNextAnime,unknown,56,101
睡姿图鉴/主技能/能量填充,unknown,56,58
宝可梦之歌,unknown,56,56
Ga-OleLocation/head,unknown,56,56
Ga-OleLocation/footer,unknown,56,56
形態變化,unknown,55,698
睡姿图鉴/友情徽章,unknown,55,61
神奇宝贝百科招式工程,drop,55,55
回复道具,unknown,55,55
卡牌信息/语言切换,unknown,55,55
PTCG/宝可梦LV.X,unknown,55,55
大集结宝可梦信息框,unknown,55,55
旷野地带新闻列表,unknown,55,55
第三世代招式學習器,unknown,54,54
Movelist/level/gen6,infobox,53,697
訓練家列表/l,unknown,53,444
Learnlist/event6,unknown,53,119
第二世代招式學習器,unknown,53,53
Movelist/tm/gen1,infobox,52,9686
隊伍/pokemonM,unknown,52,306
拍档石盘/攻击型,unknown,52,80
大量剧透,unknown,52,52
可交换道具,unknown,52,52
Template:動畫漫畫版,unknown,52,52
招式/极巨招式,unknown,52,52
捕捉/entry1,unknown,51,1133
公告牌/XY,unknown,51,738
Cfmx C,unknown,51,448
队伍/div,unknown,51,92
版本资料切换/丰缘,unknown,51,52
訓練家列表/p,unknown,50,1112
TCGP任務/entry,unknown,50,1019
捕捉/entry5,unknown,50,937
Learnlist/level1glitch,unknown,50,639
队伍/dualmain,unknown,50,92
MusicStreamingService/AmazonMusic,unknown,50,63
第一世代招式學習器,unknown,50,50
PTCG/宝可梦分类,unknown,50,50
卡牌信息/header/太晶,unknown,50,50
捕捉/entry8/天气,unknown,49,2633
Cast,unknown,49,622
Itemlist/1,unknown,49,451
捕捉/header/天气,unknown,49,133
Gameabbrev/4,unknown,49,87
内部数据,unknown,49,49
奇迹发射器道具,unknown,49,49
贵重道具,unknown,49,49
炎岚光地点,unknown,49,49
PSI,unknown,48,1210
捕捉/entrylple,unknown,48,696
公告牌/BW,unknown,48,138
Cast/h,unknown,48,48
Ranger地点信息框,unknown,48,48
卡牌信息/header/KM,unknown,48,48
捕捉/entry8/巢穴,unknown,47,9085
捕捉/header/巢穴,unknown,47,736
捕捉/footer/巢穴,unknown,47,736
Typelinkimage,unknown,47,580
队伍/pokemonT,unknown,47,220
隊伍/dualmain,unknown,47,135
捕捉/footer/天气,unknown,47,131
GameIconzh/1,unknown,47,126
拍档石盘/技术型,unknown,47,71
MusicStreamingService/网易云音乐,unknown,47,49
电影信息框,unknown,47,48
寶可夢信息框/形态,unknown,47,47
招式类别,unknown,47,47
Learnlist/tm/za,unknown,46,1472
Learnlist/level/za,unknown,46,617
隊伍/div,unknown,46,135
Gameabbrev/7,unknown,46,116
Learnlist/levelh/za,unknown,46,50
Learnlist/levelf/za,unknown,46,50
Learnlist/tmh/za,unknown,46,50
Learnlist/tmf/za,unknown,46,50
宝可梦博士,unknown,46,46
道具效果/邮件,semantic,46,46
邮件,unknown,46,46
动画中多次登场的野生宝可梦,unknown,46,46
Learnlist/eventh/za,unknown,45,48
Learnlist/event/za,unknown,45,48
Learnlist/eventf/za,unknown,45,48
主机信息框,unknown,45,47
