id,name_ja,name_zh,name_en,category,fling_power,fling_effect,description_ja,description_zh,description_en,image_path
14,ヒールボール,治愈球,heal-ball,special-balls,,,捕まえた　ポケモンの　ＨＰと 状態異常を　回復する ちょっと　やさしい　ボール。,有点温柔的球。 能回复捉到的宝可梦的 ＨＰ并治愈异常状态。,A remedial Poké Ball that restores the HP of a Pokémon caught with it and eliminates any status conditions.,heldItemImage/heal-ball.png
15,クイックボール,先机球,quick-ball,special-balls,,,戦闘が　はじまって　すぐに 使うと　捕まえやすくなる ちょっと　変わった　ボール。,有点与众不同的球。 如果战斗开始后立刻使用， 就能很容易地捉到宝可梦。,A somewhat different Poké Ball that has a more successful catch rate if used at the start of a wild encounter.,heldItemImage/quick-ball.png
16,プレシャスボール,贵重球,cherish-ball,special-balls,,,なにかの　記念の　品として 特別に　つくられた かなり　珍しい　ボール。,相当珍贵的球。 特制出来的某种纪念品。,A quite rare Poké Ball that has been crafted in order to commemorate a special occasion of some sort.,heldItemImage/cherish-ball.png
17,キズぐすり,伤药,potion,healing,30,,スプレー式の　キズぐすり。 ポケモン　１匹の　ＨＰを ２０だけ　回復する。,喷雾式伤药。 能让１只宝可梦 回复２０ＨＰ。,A spray-type medicine for treating wounds. It can be used to restore 20 HP to a single Pokémon.,heldItemImage/potion.png
18,どくけし,解毒药,antidote,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　どくの 状態を　回復する。,喷雾式药水。 能治愈１只宝可梦的 中毒状态。,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.,heldItemImage/antidote.png
19,やけどなおし,灼伤药,burn-heal,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　やけどの 状態を　回復する。,喷雾式药水。 能治愈１只宝可梦的 灼伤状态。,A spray-type medicine for treating burns. It can be used to heal a single Pokémon suffering from a burn.,heldItemImage/burn-heal.png
20,こおりなおし,解冻药,ice-heal,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　こおりの 状態を　回復する。,喷雾式药水。 能治愈１只宝可梦的 冰冻状态。,A spray-type medicine for treating freezing. It can be used to thaw out a single Pokémon that has been frozen solid.,heldItemImage/ice-heal.png
21,ねむけざまし,解眠药,awakening,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　ねむりの 状態を　回復する。,喷雾式药水。 能治愈１只宝可梦的 睡眠状态。,A spray-type medicine to wake the sleeping. It can be used to rouse a single Pokémon from the clutches of sleep.,heldItemImage/awakening.png
22,まひなおし,解麻药,paralyze-heal,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　まひの 状態を　回復する。,喷雾式药水。 能治愈１只宝可梦的 麻痹状态。,A spray-type medicine for treating paralysis. It can be used to free a single Pokémon that has been paralyzed.,heldItemImage/paralyze-heal.png
23,かいふくのくすり,全复药,full-restore,healing,30,,ポケモン　１匹の　ＨＰと 状態異常を　すべて 回復する。,能回复１只宝可梦的 所有ＨＰ并治愈所有异常状态。,A medicine that can be used to fully restore the HP of a single Pokémon and heal any status conditions it has.,heldItemImage/full-restore.png
24,まんたんのくすり,全满药,max-potion,healing,30,,スプレー式の　キズぐすり。 ポケモン　１匹の　ＨＰを すべて　回復する。,喷雾式伤药。 能让１只宝可梦 回复所有ＨＰ。,A spray-type medicine for treating wounds. It can be used to completely restore the max HP of a single Pokémon.,heldItemImage/max-potion.png
25,すごいキズぐすり,厉害伤药,hyper-potion,healing,30,,スプレー式の　キズぐすり。 ポケモン　１匹の　ＨＰを １２０だけ　回復する。,喷雾式伤药。 能让１只宝可梦 回复１２０ＨＰ。,A spray-type medicine for treating wounds. It can be used to restore 120 HP to a single Pokémon.,heldItemImage/hyper-potion.png
26,いいキズぐすり,好伤药,super-potion,healing,30,,スプレー式の　キズぐすり。 ポケモン　１匹の　ＨＰを ６０だけ　回復する。,喷雾式伤药。 能让１只宝可梦 回复６０ＨＰ。,A spray-type medicine for treating wounds. It can be used to restore 60 HP to a single Pokémon.,heldItemImage/super-potion.png
27,なんでもなおし,万灵药,full-heal,status-cures,30,,スプレー式の　薬。 ポケモン　１匹の　状態の 異常を　すべて　回復する。,喷雾式药水。 能治愈１只宝可梦的 所有异常状态。,A spray-type medicine that is broadly effective. It can be used to heal all the status conditions of a single Pokémon.,heldItemImage/full-heal.png
28,げんきのかけら,活力碎片,revive,revival,30,,ひんしに　なった　ポケモン １匹を　元気に　したうえで ＨＰを　半分まで　回復する。,能让１只陷入濒死的 宝可梦重获生机， 并回复一半ＨＰ。,A medicine that can be used to revive a single Pokémon that has fainted. It also restores half of the Pokémon’s max HP.,heldItemImage/revive.png
29,げんきのかたまり,活力块,max-revive,revival,30,,ひんしに　なった　ポケモン １匹を　元気に　したうえで ＨＰを　すべて　回復する。,能让１只陷入濒死的 宝可梦重获生机， 并回复所有ＨＰ。,A medicine that can be used to revive a single Pokémon that has fainted. It also fully restores the Pokémon’s max HP.,heldItemImage/max-revive.png
30,おいしいみず,美味之水,fresh-water,healing,30,,ミネラル　たっぷりの　水。 ポケモン　１匹の　ＨＰを ３０だけ　回復する。,富含矿物质的水。 能让１只宝可梦 回复３０ＨＰ。,Water with high mineral content. It can be used to restore 30 HP to a single Pokémon.,heldItemImage/fresh-water.png
31,サイコソーダ,劲爽汽水,soda-pop,healing,30,,シュワっと　はじける　ソーダ。 ポケモン　１匹の　ＨＰを ５０だけ　回復する。,翻腾着气泡的汽水。 能让１只宝可梦 回复５０ＨＰ。,A highly carbonated soda drink. It can be used to restore 50 HP to a single Pokémon.,heldItemImage/soda-pop.png
32,ミックスオレ,果汁牛奶,lemonade,healing,30,,とても　あまい　ジュース。 ポケモン　１匹の　ＨＰを ７０だけ　回復する。,非常香甜的牛奶。 能让１只宝可梦 回复７０ＨＰ。,A very sweet and refreshing drink. It can be used to restore 70 HP to a single Pokémon.,heldItemImage/lemonade.png
33,モーモーミルク,哞哞鲜奶,moomoo-milk,healing,30,,栄養満点の　ミルク。 ポケモン　１匹の　ＨＰを １００だけ　回復する。,营养百分百的牛奶。 能让１只宝可梦 回复１００ＨＰ。,A bottle of highly nutritious milk. It can be used to restore 100 HP to a single Pokémon.,heldItemImage/moomoo-milk.png
34,ちからのこな,元气粉,energy-powder,healing,30,,とても　にがい　粉薬。 ポケモン　１匹の　ＨＰを ６０だけ　回復する。,非常苦的药粉。 能让１只宝可梦 回复６０ＨＰ。,A very bitter medicinal powder. It can be used to restore 60 HP to a single Pokémon.,heldItemImage/energy-powder.png
35,ちからのねっこ,元气根,energy-root,healing,30,,とても　にがい　ねっこ。 ポケモン　１匹の　ＨＰを １２０だけ　回復する。,非常苦的根。 能让１只宝可梦 回复１２０ＨＰ。,An extremely bitter medicinal root. It can be used to restore 120 HP to a single Pokémon.,heldItemImage/energy-root.png
36,ばんのうごな,万能粉,heal-powder,status-cures,30,,とても　にがい　粉薬。 ポケモン　１匹の　状態の 異常を　すべて　回復する。,非常苦的药粉。 能治愈１只宝可梦的 所有异常状态。,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokémon.,heldItemImage/heal-powder.png
37,ふっかつそう,复活草,revival-herb,revival,30,,とても　にがい　薬草。 ひんしの　ポケモン　１匹の ＨＰを　すべて　回復する。,非常苦的药草。 能让１只濒死的宝可梦 回复所有ＨＰ。,A terribly bitter medicinal herb. It revives a fainted Pokémon and fully restores its max HP.,heldItemImage/revival-herb.png
38,ピーピーエイド,ＰＰ单项小补剂,ether,pp-recovery,30,,ポケモンが　覚えている 技のうち　１つの　ＰＰを １０だけ　回復する。,能让宝可梦学会的 其中１个招式 回复１０ＰＰ。,This medicine can be used to restore 10 PP to a single selected move that has been learned by a Pokémon.,heldItemImage/ether.png
39,ピーピーリカバー,ＰＰ单项全补剂,max-ether,pp-recovery,30,,ポケモンが　覚えている 技のうち　１つの　ＰＰを すべて　回復する。,能让宝可梦学会的 其中１个招式 回复所有ＰＰ。,This medicine can be used to fully restore the PP of a single selected move that has been learned by a Pokémon.,heldItemImage/max-ether.png
40,ピーピーエイダー,ＰＰ多项小补剂,elixir,pp-recovery,30,,ポケモンが　覚えている ４つの　技の　ＰＰを １０ずつ　回復する。,能让宝可梦学会的 ４个招式各 回复１０ＰＰ。,This medicine can be used to restore 10 PP to each of the moves that have been learned by a Pokémon.,heldItemImage/elixir.png
41,ピーピーマックス,ＰＰ多项全补剂,max-elixir,pp-recovery,30,,ポケモンが　覚えている ４つの　技の　ＰＰを すべて　回復する。,能让宝可梦学会的 ４个招式 回复所有ＰＰ。,This medicine can be used to fully restore the PP of all of the moves that have been learned by a Pokémon.,heldItemImage/max-elixir.png
42,フエンせんべい,釜炎仙贝,lava-cookie,status-cures,30,,フエン名物の　せんべい。 ポケモン　１匹の　状態の 異常を　すべて　回復する。,釜炎特产的仙贝。 能治愈１只宝可梦的 所有异常状态。,Lavaridge Town’s local specialty. It can be used once to heal all the status conditions of a Pokémon.,heldItemImage/lava-cookie.png
43,きのみジュース,树果汁,berry-juice,healing,30,,きのみ　１００％の　ジュース。 ポケモン　１匹の　ＨＰを ２０だけ　回復する。,１００％树果果汁。 能让１只宝可梦 回复２０ＨＰ。,A 100 percent pure juice made of Berries. It can be used to restore 20 HP to a single Pokémon.,heldItemImage/berry-juice.png
44,せいなるはい,圣灰,sacred-ash,revival,30,,ひんしに　なってしまった ポケモン　全員の　ＨＰを すべて　回復する。,能让陷入濒死的 全部宝可梦 回复所有ＨＰ。,"This rare ash can revive all fainted Pokémon in a party. In doing so, it also fully restores their max HP.",heldItemImage/sacred-ash.png
45,マックスアップ,ＨＰ增强剂,hp-up,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　ＨＰの 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 ＨＰ的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the HP base points of a single Pokémon.",heldItemImage/hp-up.png
46,タウリン,攻击增强剂,protein,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　攻撃の 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 攻击的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the Attack base points of a single Pokémon.",heldItemImage/protein.png
47,ブロムヘキシン,防御增强剂,iron,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　防御の 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 防御的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the Defense base points of a single Pokémon.",heldItemImage/iron.png
48,インドメタシン,速度增强剂,carbos,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　素早さの 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 速度的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the Speed base points of a single Pokémon.",heldItemImage/carbos.png
49,リゾチウム,特攻增强剂,calcium,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　特攻の 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 特攻的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the Sp. Atk base points of a single Pokémon.",heldItemImage/calcium.png
50,ふしぎなアメ,神奇糖果,rare-candy,vitamins,30,,エネルギーの　つまった　アメ。 あたえると　ポケモン　１匹の レベルが　１だけ　あがる。,充满能量的糖果。 将它交给宝可梦后， １只宝可梦的等级仅会提高１。,"A candy that is packed with energy. When consumed, it will instantly raise the level of a single Pokémon by one.",heldItemImage/rare-candy.png
51,ポイントアップ,ＰＰ提升剂,pp-up,vitamins,30,,ポケモンが　覚えている 技のうち　１つの　ＰＰの 最大値を　少し　あげる。,能让宝可梦学会的 其中１个招式的 ＰＰ最大值少量提高。,A medicine that slightly raises the max PP of a single selected move that has been learned by a Pokémon.,heldItemImage/pp-up.png
52,キトサン,特防增强剂,zinc,vitamins,30,,ポケモンの　栄養ドリンク。 ポケモン　１匹の　特防の 基礎ポイントを　あげる。,宝可梦的营养饮料。 能提高１只宝可梦的 特防的基础点数。,"A nutritious drink for Pokémon. When consumed, it raises the Sp. Def base points of a single Pokémon.",heldItemImage/zinc.png
53,ポイントマックス,ＰＰ极限提升剂,pp-max,vitamins,30,,覚えている　技のうち １つの　ＰＰの　最大値を 最高まで　あげる。,能将宝可梦学会的 其中１个招式的 ＰＰ最大值提至最高。,A medicine that optimally raises the max PP of a single selected move that has been learned by a Pokémon.,heldItemImage/pp-max.png
54,もりのヨウカン,森之羊羹,old-gateau,status-cures,30,,ハクタイの　隠れた　名物。 ポケモン　１匹の　状態の 異常を　すべて　回復する。,百代不为人知的特产。 能治愈１只宝可梦的 所有异常状态。,The Old Chateau’s hidden specialty. It can be used once to heal all the status conditions of a Pokémon.,heldItemImage/old-gateau.png
55,エフェクトガード,能力防守,guard-spec,stat-boosts,30,,戦闘中　５ターンの　あいだ 味方の　能力を さげられなくする　道具。,在战斗中， ５回合内不让我方 能力降低的道具。,An item that prevents stat reduction among the Trainer’s party Pokémon for five turns after it is used in battle.,heldItemImage/guard-spec.png
56,クリティカット,要害攻击,dire-hit,stat-boosts,30,,急所率が　大きく　あがる。 １度しか　使うことが　できない。 ひっこめると　元に　戻る。,击中要害的几率会大幅提高。 只能使用１次。 离场后，效果便会消失。,An item that greatly raises the critical-hit ratio of a Pokémon during a battle. It can be used only once and wears off if the Pokémon is withdrawn.,heldItemImage/dire-hit.png
57,プラスパワー,力量强化,x-attack,stat-boosts,30,,戦闘中の　ポケモンの 攻撃を　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦攻击的道具。 离场后，效果便会消失。,An item that sharply boosts the Attack stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-attack.png
58,ディフェンダー,防御强化,x-defense,stat-boosts,30,,戦闘中の　ポケモンの 防御を　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦防御的道具。 离场后，效果便会消失。,An item that sharply boosts the Defense stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-defense.png
59,スピーダー,速度强化,x-speed,stat-boosts,30,,戦闘中の　ポケモンの 素早さを　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦速度的道具。 离场后，效果便会消失。,An item that sharply boosts the Speed stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-speed.png
60,ヨクアタール,命中强化,x-accuracy,stat-boosts,30,,戦闘中の　ポケモンの 命中を　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦命中的道具。 离场后，效果便会消失。,An item that sharply boosts the accuracy of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-accuracy.png
61,スペシャルアップ,特攻强化,x-sp-atk,stat-boosts,30,,戦闘中の　ポケモンの 特攻を　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦特攻的道具。 离场后，效果便会消失。,An item that sharply boosts the Sp. Atk stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-sp-atk.png
62,スペシャルガード,特防强化,x-sp-def,stat-boosts,30,,戦闘中の　ポケモンの 特防を　大きく　あげる　道具。 ひっこめると　元に　戻る。,大幅提高战斗中 宝可梦特防的道具。 离场后，效果便会消失。,An item that sharply boosts the Sp. Def stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.,heldItemImage/x-sp-def.png
63,ピッピにんぎょう,皮皮玩偶,poke-doll,spelunking,30,,ポケモンの　気をひかせる　道具。 野生ポケモンとの　戦闘から 絶対に　逃げられる。,能吸引宝可梦注意的道具。 在和野生宝可梦的 战斗中绝对可以逃走。,A doll that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.,heldItemImage/poke-doll.png
64,エネコのシッポ,向尾喵的尾巴,fluffy-tail,spelunking,30,,ポケモンの　気をひかせる　道具。 野生ポケモンとの　戦闘から 絶対に　逃げられる。,能吸引宝可梦注意的道具。 在和野生宝可梦的 战斗中绝对可以逃走。,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.,heldItemImage/fluffy-tail.png
65,あおいビードロ,蓝色玻璃哨,blue-flute,flutes,30,,青いガラスで　できた　笛。 眠り状態を　回復する。,以蓝色玻璃制成的哨子。 可以治愈睡眠状态。,A flute made from blue glass. It awakens sleeping Pokémon.,heldItemImage/blue-flute.png
66,きいろビードロ,黄色玻璃哨,yellow-flute,flutes,30,,黄色のガラスで　できた　笛。 混乱状態を　回復する。,以黄色玻璃制成的哨子。 可以治愈混乱状态。,A flute made from yellow glass. It snaps Pokémon out of confusion.,heldItemImage/yellow-flute.png
67,あかいビードロ,红色玻璃哨,red-flute,flutes,30,,赤いガラスで　できた　笛。 メロメロ状態を　回復する。,以红色玻璃制成的哨子。 可以治愈着迷状态。,A flute made from red glass. It snaps Pokémon out of infatuation.,heldItemImage/red-flute.png
68,くろいビードロ,黑色玻璃哨,black-flute,spelunking,30,,黒いガラスで　できた　笛。 使った　場所で　強いポケモンと 遭遇　しやすくなる。,以黑色玻璃制成的哨子。 在使用的地方更容易 遇到强大的宝可梦。,A flute made from black glass. It makes it easier to encounter strong Pokémon in the place you use it.,heldItemImage/black-flute.png
69,しろいビードロ,白色玻璃哨,white-flute,spelunking,30,,白いガラスで　できた　笛。 使った　場所で　弱いポケモンと 遭遇　しやすくなる。,以白色玻璃制成的哨子。 在使用的地方更容易 遇到弱小的宝可梦。,A flute made from white glass. It makes it easier to encounter weak Pokémon in the place you use it.,heldItemImage/white-flute.png
70,あさせのしお,浅滩海盐,shoal-salt,collectibles,30,,浅瀬の洞穴で みつけた　塩。,在浅滩洞穴这地方 找到的海盐。,Salt that you found inside Shoal Cave.,heldItemImage/shoal-salt.png
71,あさせのかいがら,浅滩贝壳,shoal-shell,collectibles,30,,浅瀬の洞穴で みつけた　貝殻。,在浅滩洞穴这地方 找到的贝壳。,A seashell that you found inside Shoal Cave.,heldItemImage/shoal-shell.png
72,あかいかけら,红色碎片,red-shard,collectibles,30,,赤い　小さな　かけら。 昔に　つくられた　なにかの 道具の　一部らしい。,红色的小碎片。 好像是以前制作的 某道具的一部分。,A small red shard. It appears to be a fragment of some sort of implement made long ago.,heldItemImage/red-shard.png
73,あおいかけら,蓝色碎片,blue-shard,collectibles,30,,青い　小さな　かけら。 昔に　つくられた　なにかの 道具の　一部らしい。,蓝色的小碎片。 好像是以前制作的 某道具的一部分。,A small blue shard. It appears to be a fragment of some sort of implement made long ago.,heldItemImage/blue-shard.png
74,きいろいかけら,黄色碎片,yellow-shard,collectibles,30,,黄色い　小さな　かけら。 昔に　つくられた　なにかの 道具の　一部らしい。,黄色的小碎片。 好像是以前制作的 某道具的一部分。,A small yellow shard. It appears to be a fragment of some sort of implement made long ago.,heldItemImage/yellow-shard.png
75,みどりのかけら,绿色碎片,green-shard,collectibles,30,,緑の　小さな　かけら。 昔に　つくられた　なにかの 道具の　一部らしい。,绿色的小碎片。 好像是以前制作的 某道具的一部分。,A small green shard. It appears to be a fragment of some sort of implement made long ago.,heldItemImage/green-shard.png
76,シルバースプレー,白银喷雾,super-repel,spelunking,30,,弱い　野生の　ポケモンが まったく　でて　こなくなる。 むしよけスプレーより　長く　効く。,弱小的野生宝可梦 将完全不会出现。 效果比除虫喷雾更持久。,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Repel.,heldItemImage/super-repel.png
77,ゴールドスプレー,黄金喷雾,max-repel,spelunking,30,,弱い　野生の　ポケモンが まったく　でて　こなくなる。 シルバースプレーより　長く　効く。,弱小的野生宝可梦 将完全不会出现。 效果比白银喷雾更持久。,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Super Repel.,heldItemImage/max-repel.png
78,あなぬけのヒモ,离洞绳,escape-rope,spelunking,30,,長くて　丈夫な　ヒモ。洞窟や ダンジョンから　抜け出すことが　できる。 何度でも　使える。,结实的长绳。 可以从洞窟或迷宫中脱身。 能够反复使用。,A long and durable rope. Use it to escape instantly from locations like caves or dungeons. It can be used any number of times.,heldItemImage/escape-rope.png
79,むしよけスプレー,除虫喷雾,repel,spelunking,30,,使うと　少しの　あいだ 弱い　野生の　ポケモンが まったく　でて　こなくなる。,使用后，在较短的一段时间内， 弱小的野生宝可梦将完全不会出现。,An item that prevents any low-level wild Pokémon from jumping out at you for a while.,heldItemImage/repel.png
80,たいようのいし,日之石,sun-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 太陽のように　赤い。,能让某些特定宝可梦 进化的神奇石头。 像太阳一样赤红。,A peculiar stone that can make certain species of Pokémon evolve. It burns as red as the evening sun.,heldItemImage/sun-stone.png
81,つきのいし,月之石,moon-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 夜空のように　黒い。,能让某些特定宝可梦 进化的神奇石头。 像夜空一样乌黑。,A peculiar stone that can make certain species of Pokémon evolve. It is as black as the night sky.,heldItemImage/moon-stone.png
82,ほのおのいし,火之石,fire-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 だいだい色を　している。,能让某些特定宝可梦 进化的神奇石头。 看上去是橙黄色的。,A peculiar stone that can make certain species of Pokémon evolve. The stone has a fiery orange heart.,heldItemImage/fire-stone.png
83,かみなりのいし,雷之石,thunder-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 稲妻の　模様が　ある。,能让某些特定宝可梦 进化的神奇石头。 有着闪电般的花纹。,A peculiar stone that can make certain species of Pokémon evolve. It has a distinct thunderbolt pattern.,heldItemImage/thunder-stone.png
84,みずのいし,水之石,water-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 澄んだ　水色を　している。,能让某些特定宝可梦 进化的神奇石头。 看上去是澄蓝色的。,A peculiar stone that can make certain species of Pokémon evolve. It is the blue of a pool of clear water.,heldItemImage/water-stone.png
85,リーフのいし,叶之石,leaf-stone,evolution,30,,ある　特定の　ポケモンを 進化させる　不思議な　石。 はっぱの　模様が　ある。,能让某些特定宝可梦 进化的神奇石头。 有着叶子般的花纹。,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable leaf pattern.,heldItemImage/leaf-stone.png
86,ちいさなキノコ,小蘑菇,tiny-mushroom,loot,30,,ちいさな　珍しい　キノコ。 一部の　マニアの　あいだでは けっこう　人気が　高い。,珍稀的小蘑菇。 在一些爱好者中 有着相当高的人气。,A very small and rare mushroom. It’s popular with a certain class of collectors.,heldItemImage/tiny-mushroom.png
87,おおきなキノコ,大蘑菇,big-mushroom,loot,30,,おおきな　珍しい　キノコ。 一部の　マニアの　あいだでは とても　人気が　高い。,珍稀的大蘑菇。 在一些爱好者中 有着非常高的人气。,A very large and rare mushroom. It’s popular with a certain class of collectors.,heldItemImage/big-mushroom.png
88,しんじゅ,珍珠,pearl,loot,30,,きれいな　銀色に　光る 少し　ちいさめの　真珠。 ショップで　安く　売れる。,散发着美丽银辉 且有点小的珍珠。 可以在商店低价出售。,A rather small pearl that has a very nice silvery sheen to it. It can be sold at a low price to shops.,heldItemImage/pearl.png
89,おおきなしんじゅ,大珍珠,big-pearl,loot,30,,きれいな　銀色に　光る かなり　大粒の　真珠。 ショップで　高く　売れる。,散发着美丽银辉 且相当大颗的珍珠。 可以在商店高价出售。,A rather large pearl that has a very nice silvery sheen. It can be sold at a high price to shops.,heldItemImage/big-pearl.png
