pokedex_id	pokeapi_id	name_en	name_zh	name_ja	is_default_form	type1	type2	ability1_name	ability2_name	hidden_ability_name	weight_kg	hp	attack	defense	sp_attack	sp_defense	speed	total_stats	description_zh	description_en	description_ja
15	15	beedrill	大针蜂	スピアー	TRUE	bug	poison	swarm		sniper	29.5	65	90	40	45	80	75	395	它会用双手和 尾部的３根毒针 反复刺伤敌人。	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	両手と　お尻にある　３本の 毒バリで　相手を　刺して 刺して　刺しまくって　攻撃する。
15	10090	beedrill-mega	大针蜂（超级进化）	スピアー（メガシンカ）	FALSE	bug	poison	adaptability			40.5	65	150	40	15	80	145	495	它会用双手和 尾部的３根毒针 反复刺伤敌人。	It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.	両手と　お尻にある　３本の 毒バリで　相手を　刺して 刺して　刺しまくって　攻撃する。
16	16	pidgey	波波	ポッポ	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	1.8	40	45	40	35	35	56	251	性格沉着冷静，即使受到 攻击也很少反击，只会朝 对手扬起沙子保护自己。	"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."	おとなしい　性格で　襲われても 反撃　せずに　砂を　かけて 身を　守ることが　多い。
17	17	pidgeotto	比比鸟	ピジョン	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	30	63	60	55	50	50	71	349	拥有超群的体力，而且 飞翔范围广，经常飞到 很远的地方寻找食物。	This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.	あり余る　体力の　持ち主で 広い　縄張りを　飛びまわり 遠くまで　エサを　探しにいく。
18	18	pidgeot	大比鸟	ピジョット	TRUE	normal	flying	keen-eye	tangled-feet	big-pecks	39.5	83	80	75	70	70	101	479	以２马赫的飞行速度来 觅食。它巨大的爪子是 非常令人惧怕的武器。	"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."	マッハ２で　飛行し　エサを探す。 その　大きな　ツメは　武器と しても　恐れられている。
18	10073	pidgeot-mega	大比鸟（超级进化）	ピジョット（メガシンカ）	FALSE	normal	flying	no-guard			50.5	83	80	80	135	80	121	579	以２马赫的飞行速度来 觅食。它巨大的爪子是 非常令人惧怕的武器。	"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."	マッハ２で　飛行し　エサを探す。 その　大きな　ツメは　武器と しても　恐れられている。
19	19	rattata	小拉达	コラッタ	TRUE	normal		run-away	guts	hustle	3.5	30	56	35	25	35	72	253	有两颗大门牙，见什么咬什么。 只要看到１只小拉达出没， 附近肯定还住着40只以上。	"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."	キバが２つ。とにかく　なんでも かじってみる。１匹　見つけたら ４０匹は　そこに　住んでるはず。
19	10091	rattata-alola	小拉达（阿罗拉的样子）	コラッタ（アローラのすがた）	FALSE	dark	normal	gluttony	hustle	thick-fat	3.8	30	56	35	25	35	72	253	门牙会终生生长，所以必须要保养。 不准备好锉刀的话，会把柱子都啃掉。	"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."	前歯は　死ぬまで　伸び続けるので メンテナンスが　必要。　ヤスリを 用意しないと　柱を　かじられる。
20	20	raticate	拉达	ラッタ	TRUE	normal		run-away	guts	hustle	18.5	55	81	60	50	70	97	413	它的后脚上长着 小蹼，以便它在 水中游泳寻找食物。	"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."	後ろ足にある　小さな　水かきで 川を　泳ぐのは　水の中の エサを　捕るためだ。
20	10092	raticate-alola	拉达（阿罗拉的样子）	ラッタ（アローラのすがた）	FALSE	dark	normal	gluttony	hustle	thick-fat	25.5	75	71	70	40	80	77	413	游泳很在行。后脚带有小小的蹼， 会渡过河流，有时还会渡过大海。	"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."	泳ぐのが　得意。　後ろ足に 小さな　水かきが　ついていて 河や　ときに　海を　渡ることも。
20	10093	raticate-totem-alola	拉达（霸主 阿罗拉的样子）	ラッタ（ぬし アローラのすがた）	FALSE	dark	normal	gluttony	hustle	thick-fat	105	75	71	70	40	80	77	413	游泳很在行。后脚带有小小的蹼， 会渡过河流，有时还会渡过大海。	"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."	泳ぐのが　得意。　後ろ足に 小さな　水かきが　ついていて 河や　ときに　海を　渡ることも。
21	21	spearow	烈雀	オニスズメ	TRUE	normal	flying	keen-eye		sniper	2	40	60	30	31	31	70	262	不擅长高空飞行。 会以超高速在地盘里四处盘旋， 以保护自己的地盘不被侵犯。	"Inept at flying high. However, it can fly around very fast to protect its territory."	高く　飛ぶのは　苦手。 縄張りを　守るために 猛スピードで　飛びまわっている。
22	22	fearow	大嘴雀	オニドリル	TRUE	normal	flying	keen-eye		sniper	38	65	90	65	61	61	100	442	很久以前就存在的宝可梦。 哪怕只察觉到一丝危险， 都会立即飞向高空。	"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."	昔から　住んでいる　ポケモン。 少しでも　危険を　感じると 空高く　飛んで　いってしまう。
23	23	ekans	阿柏蛇	アーボ	TRUE	poison		intimidate	shed-skin	unnerve	6.9	35	60	44	40	54	55	288	身体会随着年龄增长不断变长。 每到夜里，它会一圈圈地 将身体缠绕在树枝上休息。	"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."	育つほどに　どんどん　長くなる。 そして　夜中は　木の枝に グルグルと　からまって　休む。
24	24	arbok	阿柏怪	アーボック	TRUE	poison		intimidate	shed-skin	unnerve	65	60	95	69	65	79	80	448	根据研究证实，它腹部 那可怕的纹路大约有 ６个种类已经得到确认。	The frightening patterns on its belly have been studied. Six variations have been confirmed.	恐ろしげな　お腹の　模様は 研究の　結果　６種類ほど パターンが　確認されている。
25	25	pikachu	皮卡丘	ピカチュウ	TRUE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10080	pikachu-rock-star	皮卡丘（摇滚巨星）	ピカチュウ（ロックスター）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10081	pikachu-belle	皮卡丘（贵妇）	ピカチュウ（マダム）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10082	pikachu-pop-star	皮卡丘（流行偶像）	ピカチュウ（アイドル）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10083	pikachu-phd	皮卡丘（博士）	ピカチュウ（ドクター）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10084	pikachu-libre	皮卡丘（面具摔跤手）	ピカチュウ（マスクド）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10085	pikachu-cosplay	皮卡丘（换装）	ピカチュウ（おきがえ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10094	pikachu-original-cap	皮卡丘（原始之帽）	ピカチュウ（オリジナルキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10095	pikachu-hoenn-cap	皮卡丘（丰缘之帽）	ピカチュウ（ホウエンキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10096	pikachu-sinnoh-cap	皮卡丘（神奥之帽）	ピカチュウ（シンオウキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10097	pikachu-unova-cap	皮卡丘（合众之帽）	ピカチュウ（イッシュキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10098	pikachu-kalos-cap	皮卡丘（卡洛斯之帽）	ピカチュウ（カロスキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10099	pikachu-alola-cap	皮卡丘（阿罗拉之帽）	ピカチュウ（アローラキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	最近发表了聚集大量皮卡丘， 建造发电厂的计划。	A plan was recently announced to gather many Pikachu and make an electric power plant.	たくさんの　ピカチュウを　集め 発電所を　造る　計画が 最近　発表　された。
25	10148	pikachu-partner-cap	皮卡丘（搭档之帽）	ピカチュウ（キミにきめたキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10158	pikachu-starter	皮卡丘（搭档）	ピカチュウ（パートナー）	FALSE	electric		static		lightning-rod	6	45	80	50	75	60	120	430	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10160	pikachu-world-cap	皮卡丘（世界之帽）	ピカチュウ（ワールドキャップ）	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
25	10199	pikachu-gmax	皮卡丘（超极巨化）	ピカチュウ（キョダイマックス）	FALSE	electric		static		lightning-rod	1000	35	55	40	50	50	90	320	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。
26	26	raichu	雷丘	ライチュウ	TRUE	electric		static		lightning-rod	30	60	90	55	90	80	110	485	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。
26	10100	raichu-alola	雷丘（阿罗拉的样子）	ライチュウ（アローラのすがた）	FALSE	electric	psychic	surge-surfer			21	60	85	50	95	85	110	485	电击有时候会达到十万伏特， 不小心碰到的话， 连印度象也会昏厥。	"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant."	電撃は　１０万ボルトに 達することもあり　ヘタに触ると インド象でも　気絶する。
26	10304	raichu-mega-x	雷丘（超级进化X）	ライチュウ（メガシンカX）	FALSE	electric					38	60	135	95	90	95	110	585	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。
26	10305	raichu-mega-y	雷丘（超级进化Y）	ライチュウ（メガシンカY）	FALSE	electric					26	60	100	55	160	80	130	585	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。
27	27	sandshrew	穿山鼠	サンド	TRUE	ground		sand-veil		sand-rush	12	50	75	85	20	30	40	300	会在地上挖洞建造巢穴。 挖洞时，即便遇到地里的坚硬岩石， 也能用尖锐的爪子弄碎后继续挖进。	"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging."	地面を　掘って　巣穴を　つくる。 地中の　硬い　岩も　鋭い　ツメで 砕いて　掘り進むぞ。
27	10101	sandshrew-alola	穿山鼠（阿罗拉的样子）	サンド（アローラのすがた）	FALSE	ice	steel	snow-cloak		slush-rush	40	50	75	90	10	35	40	300	可以蜷缩身体变成球的样子。 骨碌碌滚动着在沙漠里高速移动。	It can roll its body into a ball. It moves through the desert by rolling at high speeds.	身体を　丸めて　ボールのような 姿に　なれる。　転がりながら 砂漠を　高速で　移動する。
28	28	sandslash	穿山王	サンドパン	TRUE	ground		sand-veil		sand-rush	29.5	75	100	110	45	55	65	450	会将锐利的爪子钩在树上爬树。 这是为了设法使树果掉落， 分给等在树下的穿山鼠们。	"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree."	鋭い　ツメを　ひっかけて　木を 登る。　下で　待つ　サンドたちに 木の実を　落とし　分け与えるのだ。
28	10102	sandslash-alola	穿山王（阿罗拉的样子）	サンドパン（アローラのすがた）	FALSE	ice	steel	snow-cloak		slush-rush	55	75	100	120	25	65	65	450	虽然锐利却有点儿脆弱的爪子 和刺经常会折断。因为第二天 就会长好，所以不必在意。	"Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss."	鋭いが　やや　もろい　ツメや トゲは　よく　折れる。　翌日には 生えそろうので　気に　しなくてよい。
29	29	nidoran-f	尼多兰	ニドラン♀	TRUE	poison		poison-point	rivalry	hustle	7	55	47	52	40	40	41	275	用坚硬的门牙咬碎 树果吃。和雄性相比， 角的尖端稍圆一些。	It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.	硬い　前歯で　木の実を　砕いて　食べる。 ツノの　先は　オスより　少し 丸みを　帯びている。
30	30	nidorina	尼多娜	ニドリーナ	TRUE	poison		poison-point	rivalry	hustle	20	70	62	67	55	55	56	365	如果族群遇到了危险， 会和伙伴们团结起来， 施展出超音波大合唱。	"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."	群れに　危険が　せまると　仲間で 結束して　超音波の　大合唱を おみまいするぞ。
31	31	nidoqueen	尼多后	ニドクイン	TRUE	poison	ground	poison-point	rivalry	sheer-force	60	90	92	87	75	85	76	505	把孩子放在背上刺与刺的 空隙里来哄它们。在这时 绝对不会释放毒素。	It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.	背中の　棘の　隙間に　子どもを 乗せて　あやす。　そのときに　毒が 出ることは　けっして　ないのだ。
32	32	nidoran-m	尼多朗	ニドラン♂	TRUE	poison		poison-point	rivalry	hustle	9	46	57	40	40	40	50	273	身材虽小，却性格勇敢。 为了保护相好的雌性， 会不顾生命果敢地战斗。	"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."	小柄だが　勇ましい　性質。 仲良しの　メスを　守るため 身を　ていして　果敢に　戦う。
33	33	nidorino	尼多力诺	ニドリーノ	TRUE	poison		poison-point	rivalry	hustle	19.5	61	72	57	55	55	65	365	神经敏感，动不动就打架。 体内的肾上腺素一增加， 毒素的浓度也会提高。	It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.	神経質で　喧嘩っ早い。 体内の　アドレナリンが　増えると 毒素の　濃度も　高まるぞ。
34	34	nidoking	尼多王	ニドキング	TRUE	poison	ground	poison-point	rivalry	sheer-force	62	81	102	77	85	75	85	505	以力量为傲的宝可梦。 用自己的粗尾巴和连钻石 都能击碎的角，豪爽地战斗。	"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."	力自慢の　ポケモン。　太い　尻尾と ダイヤをも　砕く　ツノを　駆使して 豪快に　戦う。
35	35	clefairy	皮皮	ピッピ	TRUE	fairy		cute-charm	magic-guard	friend-guard	7.5	70	45	48	60	65	35	323	因可爱的举止和叫声 而广受欢迎的宝可梦。 不过很少被人发现。	"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality."	愛くるしい　しぐさと　鳴き声で かわいいと　大人気の　ポケモン。 だが　めったに　見つからない。
36	36	clefable	皮可西	ピクシー	TRUE	fairy		cute-charm	magic-guard	unaware	40	95	70	73	95	90	60	483	听觉灵敏，连１公里以外 针落地的声音都听得见， 因此平时会待在安静的地方。	"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away."	１キロ先に　落ちた　針の　音も 聞こえるほど　耳が　いいので ふだんは　静かな　ところに　いる。
